Site,Elevation (m),Elevation (ft),Habitat,Morph,PlantNo.,No.Fruits,Fruits counted,Flowers,totSeeds,looseSeeds,avgS/F,"Notes (from Jake,NMS)",S/F.1,S/F.2,S/F.3,S/F.4,S/F.5,S/F.6,S/F.7,S/F.8,S/F.9,S/F.10,S/F.11,S/F.12,S/F.13,S/F.14,S/F.15,S/F.16,
Penn Mountain,3780,"12,401",Alpine2,Sweet,B6,10,10,18,73,,7.30,FLAT 2,10,7,8,6,5,10,4,10,6,7,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,B70,10,10,13,41,,4.10,FLAT 2,4,5,4,5,6,2,4,5,3,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,CC52,3,3,19,18,,6.00,FLAT 2,12,1,5,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,CC79,0,1,9,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S12,1,1,13,3,,3.00,FLAT 2,3,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S19,1,1,16,3,,3.00,FLAT 2,3,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S22,0,1,12,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S25,10,10,19,38,,3.80,FLAT 2,7,3,1,10,3,2,6,1,2,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S42,2,2,13,6,,3.00,FLAT 2,1,5,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S47,16,16,17,111,,6.94,FLAT 2,10,6,6,6,10,8,6,10,7,9,6,9,5,5,5,3,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S69,0,1,15,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S72,0,1,17,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S73,5,5,13,25,,5.00,FLAT 2,3,6,5,4,7,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S75,3,3,16,12,,4.00,FLAT 2,4,2,6,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S81,10,10,16,42,,4.20,FLAT 2,3,7,4,5,3,4,3,5,5,3,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S85,0,1,17,0,,0.00,FLAT 2,0,,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Sweet,S88,2,2,19,4,,2.00,FLAT 2,3,1,,,,,,,,,,,,,,,
Penn Mountain,3780,"12,401",Alpine2,Skunky,S20,3,3,15,8,,2.67,FLAT 2,5,2,1,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC1,0,1,11,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC100,3,3,8,16,,5.33,False summit,6,9,1,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC11,4,4,13,5,,1.25,False summit,2,1,1,1,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC12,11,11,15,37,,3.36,False summit,5,2,5,6,3,4,1,3,3,2,3,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Skunky,CC18,3,3,12,13,,4.33,False summit,4,6,3,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC27,2,2,16,6,,3.00,False summit,3,3,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC29,1,1,9,3,,3.00,False summit,3,,,,,,,,,,,,,,,,
Penn Mountain,3880,"12,729",Alpine2,Sweet,CC31,0,1,9,0,,0.00,False summit,0,,,,,,,,,,,,,,,,
