ID,Era,Site,Habitat,Morph,Plant.Number,Total.Flowers,No.TrmtSeeds,No.SeedsPerFruit,No.Fruits,No.SeedsPerFlower
1,2017,Cumberland Pass,Krummholz,Skunky,4,14,0,0,7,0
2,2017,Penn Mountain,Krummholz,Sweet,1,13,0,0,15,0
3,2017,Cumberland Pass,Alpine,Sweet,5,10,1,0.125,8,0.1
4,2017,Cumberland Pass,Krummholz,Sweet,1,4,1,1,1,0.25
5,2017,Cumberland Pass,Krummholz,Sweet,2,9,1,1,1,0.111111111
6,2017,Niwot Ridge,Krummholz,Sweet,3,14,1,0.2,5,0.071428571
7,2017,Cumberland Pass,Krummholz,Skunky,3,3,2,0.666666667,3,0.666666667
8,2017,Cumberland Pass,Krummholz,Skunky,2,12,3,0.272727273,11,0.25
9,2017,Cumberland Pass,Krummholz,Skunky,1,11,7,0.875,8,0.636363636
10,2017,Penn Mountain,Krummholz,Skunky,2,3,7,2.333333333,3,2.333333333
11,2017,Niwot Ridge,Krummholz,Sweet,10,7,8,2.666666667,3,1.142857143
12,2017,Niwot Ridge,Krummholz,Sweet,7,12,10,0.833333333,12,0.833333333
13,2017,Cumberland Pass,Alpine,Sweet,1,13,11,1,11,0.846153846
14,2017,Penn Mountain,Krummholz,Sweet,5,12,11,1,8,0.916666667
15,2017,Penn Mountain,Krummholz,Skunky,7,11,11,2.75,11,1
16,2017,Niwot Ridge,Krummholz,Sweet,4,9,12,1.333333333,4,1.333333333
17,2017,Niwot Ridge,Krummholz,Sweet,6,10,12,1.333333333,9,1.2
18,2017,Cumberland Pass,Alpine,Skunky,8,15,15,0.9375,9,1
19,2017,Niwot Ridge,Alpine,Sweet,2,21,16,1.777777778,16,0.761904762
20,2017,Niwot Ridge,Alpine,Sweet,9,18,16,2.285714286,9,0.888888889
21,2017,Penn Mountain,Alpine,Sweet,3,,18,1.8,7,
22,2017,Penn Mountain,Krummholz,Sweet,7,14,18,2,10,1.285714286
23,2017,Niwot Ridge,Krummholz,Skunky,4,,19,4.75,9,
24,2017,Penn Mountain,Krummholz,Skunky,6,11,19,1.583333333,4,1.727272727
25,2017,Penn Mountain,Krummholz,Skunky,9,13,19,2.111111111,12,1.461538462
26,2017,Niwot Ridge,Krummholz,Skunky,7,12,23,3.833333333,9,1.916666667
27,2017,Penn Mountain,Krummholz,Sweet,8,10,23,2.875,6,2.3
28,2017,Niwot Ridge,Alpine,Sweet,3,18,26,2.166666667,8,1.444444444
